title,vote_average,adult,genres,spoken_languages
Planet Terror,6.653,False,"Horror, Action, Thriller",English
The Girl Next Door,6.717,False,"Comedy, Romance",English
DodgeBall: A True Underdog Story,6.343,False,Comedy,"English, German"
Battle: Los Angeles,5.732,False,"Science Fiction, Action","English, Ukrainian"
A Few Good Men,7.523,False,Drama,"English, French"
Asterix & Obelix: Mission Cleopatra,7.377,False,"Family, Fantasy, Comedy, Adventure","German, French, Arabic, Cantonese, Latin"
The Bone Collector,6.778,False,"Drama, Mystery, Thriller, Crime",English
Nausicaä of the Valley of the Wind,7.928,False,"Adventure, Animation, Fantasy",Japanese
Angel Has Fallen,6.571,False,"Action, Thriller",English
Rocky Balboa,6.85,False,Drama,"English, Georgian, Spanish"
Unfriended,5.53,False,"Horror, Mystery, Thriller",English
This Means War,6.152,False,"Action, Comedy, Romance",English
Spy Kids,5.783,False,"Action, Comedy, Family, Adventure","Spanish, English"
The Elephant Man,8.051,False,"Drama, History",English
War Horse,7.303,False,"War, History, Drama, Adventure",English
Scream 3,5.976,False,"Horror, Mystery",English
Identity Thief,5.854,False,"Comedy, Crime",English
Some Like It Hot,8.108,False,"Comedy, Romance, Crime",English
Burnt,6.513,False,Drama,"French, English"
Johnny English,6.261,False,"Adventure, Action, Comedy","Japanese, English, French"
The BFG,6.253,False,"Adventure, Family, Fantasy",English
The Day the Earth Stood Still,5.598,False,"Drama, Science Fiction, Thriller","Mandarin, English"
Forgetting Sarah Marshall,6.481,False,"Comedy, Romance, Drama","English, Japanese, German"
101 Dalmatians,5.893,False,"Family, Comedy","Arabic, English"
All Quiet on the Western Front,7.749,False,"Drama, War","French, English, German"
"Extremely Wicked, Shockingly Evil and Vile",7.011,False,Crime,English
Under the Skin,6.1,False,"Thriller, Science Fiction, Drama",English
The Perfect Date,6.463,False,"Romance, Comedy","English, Croatian"
P.S. I Love You,7.19,False,"Drama, Romance",English
The Gray Man,6.979,False,"Action, Thriller","Czech, English, French, German, Thai"
Pitch Perfect 3,6.538,False,"Comedy, Music",English
Insidious: Chapter 3,6.295,False,"Horror, Thriller, Mystery",English
Hanna,6.574,False,"Action, Thriller, Adventure","English, French, German, Italian, Arabic, Spanish"
Mamma Mia! Here We Go Again,7.126,False,"Comedy, Romance",English
Saving Mr. Banks,7.351,False,"Comedy, Drama, History",English
Hellboy,5.554,False,"Fantasy, Horror, Action, Adventure","German, English, Russian, Turkish"
A Monster Calls,7.263,False,"Drama, Fantasy",English
Happy Death Day 2U,6.304,False,"Comedy, Horror, Science Fiction",English
Closer,6.833,False,"Drama, Romance",English
Black Mass,6.497,False,"Drama, Crime, History",English
The New Mutants,6.1,False,"Science Fiction, Horror, Action, Mystery, Adventure","English, Latin, Portuguese"
"As Above, So Below",6.664,False,"Horror, Thriller",English
Saw V,6.154,False,"Horror, Thriller, Crime",English
Mary Poppins Returns,6.5,False,"Fantasy, Family, Comedy",English
Transporter 3,6.142,False,"Action, Adventure, Thriller, Crime","English, Ukrainian, French, Russian, Hungarian"
Natural Born Killers,7.1,False,"Crime, Thriller, Drama","English, Navajo, Japanese"
Final Destination 5,6.093,False,"Horror, Mystery","English, Cantonese"
Nymphomaniac: Vol. I,6.882,False,Drama,English
Abraham Lincoln: Vampire Hunter,5.718,False,"Action, Fantasy, Horror",English
Lethal Weapon 2,7.006,False,"Action, Adventure, Comedy, Crime, Thriller","English, Afrikaans"
Willy Wonka & the Chocolate Factory,7.483,False,"Family, Fantasy, Comedy","French, English, Italian, German"
Stargate,6.978,False,"Action, Adventure, Science Fiction","English, Norwegian, Swedish"
The Raid,7.421,False,"Action, Thriller, Crime",Indonesian
Cape Fear,7.255,False,Thriller,English
Catwoman,4.585,False,"Action, Fantasy, Mystery, Crime","Spanish, English"
Planet of the Apes,7.643,False,"Science Fiction, Adventure, Drama, Action",English
Vice,7.051,False,"Comedy, Drama",English
Wild Wild West,5.314,False,"Action, Adventure, Comedy, Science Fiction, Western",English
Austin Powers: International Man of Mystery,6.553,False,"Science Fiction, Comedy, Crime",English
Harry Potter 20th Anniversary: Return to Hogwarts,7.302,False,Documentary,English
Mechanic: Resurrection,5.972,False,"Action, Crime, Thriller","Bulgarian, English"
Finch,7.938,False,"Science Fiction, Drama, Adventure",English
Wild Tales,7.869,False,"Drama, Thriller, Comedy",Spanish
Battle Royale,7.289,False,"Drama, Thriller, Action",Japanese
A Dog's Purpose,7.615,False,"Adventure, Comedy, Fantasy, Family, Drama",English
Before Sunset,7.82,False,"Drama, Romance","English, French"
The Longest Yard,6.632,False,Comedy,English
The Wave,7.501,False,"Drama, Thriller",German
Chocolat,6.962,False,"Comedy, Drama, Romance","English, French"
Pompeii,5.525,False,"Action, Adventure, History, Romance, Drama",English
Minions: The Rise of Gru,7.379,False,"Animation, Comedy, Family",English
Primal Fear,7.652,False,"Crime, Drama, Mystery, Thriller","English, Spanish"
Lightyear,7.1,False,"Animation, Action, Adventure, Family, Science Fiction",English
Thelma & Louise,7.571,False,"Drama, Thriller, Crime, Adventure",English
Turbo,6.188,False,"Animation, Family",English
How to Be Single,6.246,False,"Comedy, Romance",English
Machete,6.34,False,"Action, Comedy, Thriller","English, Spanish"
Austin Powers: The Spy Who Shagged Me,6.274,False,"Adventure, Comedy, Crime, Science Fiction","German, English"
Death on the Nile,6.463,False,"Mystery, Crime, Thriller","English, French"
Johnny English Reborn,6.222,False,"Crime, Action, Comedy","German, Cantonese, English, Mandarin, Russian"
Eragon,5.073,False,"Fantasy, Action, Adventure, Family",English
The Great Dictator,8.332,False,"Comedy, War","English, Esperanto"
The Devil All the Time,7.219,False,"Crime, Drama, Thriller",English
Horton Hears a Who!,6.5,False,"Animation, Comedy, Family, Adventure, Fantasy",English
I Origins,7.598,False,"Science Fiction, Drama",English
Mirror Mirror,5.918,False,"Adventure, Comedy, Family, Fantasy",English
The Artist,7.453,False,"Drama, Comedy, Romance",No Language
Little Fockers,5.64,False,"Comedy, Romance",English
Brazil,7.673,False,"Comedy, Science Fiction",English
Frankenweenie,6.944,False,"Animation, Comedy, Family",English
Scent of a Woman,7.767,False,Drama,English
Alexander,5.911,False,"War, History, Action, Adventure, Drama, Romance",English
Hitman,6.085,False,"Action, Thriller, Drama","English, Russian, Serbian"
The Graduate,7.649,False,"Comedy, Drama, Romance",English
Monster Hunter,6.647,False,"Action, Fantasy, Adventure",English
The Princess Diaries 2: Royal Engagement,6.68,False,"Comedy, Drama, Family, Romance",English
Ghost in the Shell,7.927,False,"Action, Animation, Science Fiction",Japanese
Big Daddy,6.46,False,"Comedy, Drama","English, Italian"
Chef,7.121,False,Comedy,"English, Spanish"
A Cinderella Story,6.5,False,"Comedy, Family, Romance","Czech, English, German"
Zathura: A Space Adventure,6.409,False,"Science Fiction, Adventure, Family",English
Eastern Promises,7.362,False,"Thriller, Crime, Mystery","English, Russian, Turkish, Ukrainian, Urdu"
The Gift,6.697,False,"Thriller, Mystery, Drama",English
The Cloverfield Paradox,5.594,False,"Horror, Science Fiction, Action, Thriller",English
Scary Movie 4,5.475,False,Comedy,English
The Green Hornet,5.566,False,"Action, Crime, Comedy","English, Mandarin"
The Sound of Music,7.7,False,"Drama, Family, Music, Romance","English, German"
Patch Adams,7.293,False,"Comedy, Drama",English
The Walk,6.975,False,"Drama, Crime, Comedy, Thriller","French, English"
The Number 23,6.402,False,"Thriller, Drama, Mystery",English
You've Got Mail,6.668,False,"Comedy, Romance",English
Red Riding Hood,5.96,False,"Action, Adventure, Horror, Fantasy, Thriller",English
Blue Valentine,6.9,False,"Drama, Romance",English
Pet Sematary,5.723,False,"Horror, Thriller",English
The Fox and the Hound,7.127,False,"Adventure, Animation, Drama, Family",English
The Lost City,6.6,False,"Action, Adventure, Comedy","English, French, Spanish, Latin"
Daddy's Home,6.259,False,Comedy,English
The Final Destination,5.6,False,"Horror, Mystery",English
Cruel Intentions,6.787,False,"Drama, Romance",English
The Flash,6.898,False,"Action, Adventure, Science Fiction","English, Spanish, Russian"
Jerry Maguire,6.941,False,"Comedy, Drama, Romance",English
Blue Velvet,7.629,False,"Crime, Mystery, Thriller",English
The Last Duel,7.466,False,"History, Drama, Action","French, Romanian, English"
The Mechanic,6.491,False,"Action, Thriller, Crime",English
Life As We Know It,6.9,False,"Comedy, Romance, Drama",English
Robin Hood: Prince of Thieves,6.842,False,"Action, Adventure, Drama, Romance","Arabic, English"
End of Watch,7.323,False,"Crime, Drama, Thriller","English, Spanish"
The Hunt for Red October,7.385,False,"Action, Adventure, Thriller","English, Russian"
The Lincoln Lawyer,7.192,False,"Crime, Drama, Thriller",English
The Longest Ride,7.584,False,"Drama, Romance",English
Tremors,6.878,False,"Horror, Action, Science Fiction",English
Raw,7.061,False,"Drama, Horror",French
Trading Places,7.202,False,Comedy,English
Brooklyn,7.31,False,"Romance, Drama",English
Dumb and Dumber To,5.545,False,Comedy,English
Porco Rosso,7.787,False,"Family, Comedy, Animation, Adventure",Japanese
Sister Act,6.823,False,"Music, Comedy",English
The King,7.16,False,"Drama, History, War","English, French, Latin"
Surrogates,6.097,False,"Science Fiction, Action, Thriller","English, French"
The Whale,7.949,False,Drama,English
Shame,6.953,False,Drama,English
27 Dresses,6.401,False,"Comedy, Romance",English
T2 Trainspotting,6.946,False,"Drama, Comedy","Bulgarian, English"
"Crouching Tiger, Hidden Dragon",7.409,False,"Adventure, Drama, Action, Romance",Mandarin
Twister,6.47,False,"Action, Adventure, Drama",English
A History of Violence,7.168,False,"Drama, Thriller, Crime",English
Rocky V,5.767,False,Drama,"English, Georgian"
Self/less,6.409,False,"Science Fiction, Mystery, Thriller, Action",English
Knock Knock,5.339,False,Thriller,"Spanish, English"
Triple Frontier,6.292,False,"Action, Thriller, Crime, Adventure","English, Spanish, Portuguese"
Rush Hour 3,6.4,False,"Action, Comedy, Crime","Latin, English, French, Japanese, Mandarin"
The Great Beauty,7.509,False,Drama,"Italian, Japanese, Spanish, Mandarin"
Predator 2,6.26,False,"Science Fiction, Action, Thriller",English
Cloudy with a Chance of Meatballs 2,6.436,False,"Animation, Family, Comedy",English
The Bling Ring,5.406,False,"Drama, Crime",English
Valentine's Day,5.905,False,"Comedy, Romance",English
The Virgin Suicides,7.086,False,"Drama, Romance",English
The Taking of Pelham 1 2 3,6.338,False,"Crime, Thriller, Action",English
The Scorpion King,5.6,False,"Action, Adventure, Fantasy","English, Italian, German, Thai"
Side Effects,6.587,False,"Thriller, Crime, Drama","English, French"
Young Frankenstein,7.901,False,Comedy,"German, English"
Still Alice,7.498,False,Drama,English
The Texas Chain Saw Massacre,7.292,False,Horror,English
Tag,6.7,False,"Comedy, Action",English
Rambo III,6.17,False,"Action, Adventure, Thriller, War","English, Russian"
The Hunt,6.654,False,"Action, Thriller, Horror","Arabic, Croatian, English"
Boogie Nights,7.638,False,Drama,English
21 Grams,7.337,False,"Drama, Crime, Thriller",English
Resident Evil: The Final Chapter,6.108,False,"Action, Horror, Science Fiction",English
Crawl,6.312,False,"Thriller, Horror, Action",English
Carlito's Way,7.833,False,"Crime, Drama, Romance, Thriller","English, Spanish"
Anger Management,6.139,False,Comedy,English
Austin Powers in Goldmember,5.998,False,"Comedy, Crime, Science Fiction","English, Japanese, German, French"
Brightburn,6.106,False,"Horror, Science Fiction, Thriller, Mystery",English
Erin Brockovich,7.417,False,Drama,English
Bride Wars,6.232,False,"Comedy, Romance",English
Step Brothers,6.557,False,Comedy,"English, Spanish"
The Tree of Life,6.726,False,"Drama, Fantasy",English
Singin' in the Rain,8.167,False,"Comedy, Romance",English
The Pacifier,6.055,False,"Comedy, Family, Action",English
Master and Commander: The Far Side of the World,7.132,False,"Adventure, Drama, War","French, Portuguese, English"
Two Is a Family,7.749,False,"Drama, Comedy","English, French"
Doctor Dolittle,5.7,False,"Comedy, Family, Fantasy",English
Lawless,7.043,False,"Crime, Drama, Western",English
The Emoji Movie,5.488,False,"Animation, Family, Comedy",English
Army of Darkness,7.27,False,"Fantasy, Horror, Comedy",English
What Happens in Vegas,6.081,False,"Comedy, Romance","English, Serbo-Croatian"
Shakespeare in Love,6.868,False,"Romance, History, Comedy",English
Silence,7.119,False,"Drama, History","Japanese, English"
Saw VI,6.3,False,"Horror, Thriller",English
Parker,6.018,False,"Action, Crime",English
Underwater,6.298,False,"Horror, Science Fiction, Action, Adventure",English
Last Night in Soho,7.375,False,"Mystery, Thriller, Horror",English
Hitman: Agent 47,5.83,False,"Action, Crime, Thriller",English
Charlie's Angels: Full Throttle,5.455,False,"Action, Adventure, Comedy","English, Mandarin, Spanish"
The Tomorrow War,7.572,False,"Action, Science Fiction, Adventure",English
Escape from New York,7.1,False,"Science Fiction, Action",English
Nanny McPhee,6.648,False,"Fantasy, Comedy, Family",English
Tomorrow Never Dies,6.346,False,"Adventure, Action, Thriller","German, English, Danish, Mandarin, Cantonese"
Fantasia,7.359,False,"Animation, Family",English
Three Steps Above Heaven,7.753,False,"Romance, Drama",Spanish
The Reader,7.437,False,"Drama, Romance","English, German, Greek, Latin"
A Knight's Tale,6.9,False,"Adventure, Drama, Romance, Action",English
Memoirs of a Geisha,7.673,False,"Drama, Romance, History","English, Japanese"
The Secret Life of Pets 2,6.969,False,"Adventure, Animation, Comedy, Family",English
"Honey, I Shrunk the Kids",6.276,False,"Adventure, Comedy, Family, Science Fiction",English
Elvis,7.593,False,"Drama, Music, History",English
Another Round,7.658,False,"Comedy, Drama","Danish, Swedish"
Promising Young Woman,7.5,False,"Thriller, Crime, Drama",English
The Lion King 1½,6.579,False,"Family, Animation, Comedy, Action",English
The Father,8.152,False,Drama,English
Magic Mike,6.158,False,"Drama, Comedy",English
The Last of the Mohicans,7.392,False,"Action, Adventure, Drama, History, Romance, War","English, French"
The Trial of the Chicago 7,7.727,False,"Drama, History",English
Evil Dead II,7.6,False,"Horror, Comedy, Fantasy",English
Robin Hood,5.893,False,"Adventure, Action, Thriller",English
House of Gucci,6.626,False,"Drama, History, Crime","English, Arabic, French, Italian, Japanese"
She's the Man,6.794,False,"Comedy, Romance",English
House of Wax,5.931,False,"Horror, Thriller",English
Body of Lies,6.624,False,"Action, Drama, Thriller","Arabic, English"
American Assassin,6.395,False,"Action, Thriller","Arabic, English, Italian, Persian, Polish, Spanish, Turkish"
Home Alone 3,5.264,False,"Comedy, Family","Polish, English"
Money Monster,6.447,False,"Thriller, Drama",English
Charlie's Angels,6.485,False,"Action, Adventure, Comedy",English
Hustlers,6.486,False,"Drama, Comedy, Crime","English, Spanish, Russian"
Through My Window,7.395,False,"Drama, Romance, Comedy",Spanish
Bombshell,6.814,False,Drama,English
Bridget Jones's Baby,6.417,False,"Comedy, Romance",English
Deep Impact,6.209,False,"Action, Drama, Science Fiction",English
Abduction,5.864,False,"Thriller, Action, Mystery",English
Scream,6.712,False,"Horror, Mystery, Thriller",English
The Family,6.361,False,"Crime, Comedy, Action",English
"10,000 BC",5.432,False,"Adventure, Action, Drama, Fantasy",English
The Girl with the Dragon Tattoo,7.523,False,"Drama, Thriller, Crime, Mystery","Swedish, English"
The Call,6.799,False,"Crime, Thriller",English
Carnage,7.176,False,"Comedy, Drama",English
The Butler,7.344,False,Drama,English
Letters to Juliet,6.973,False,"Comedy, Drama, Romance","English, Italian, Spanish"
Tower Heist,6.07,False,"Action, Comedy",English
Hocus Pocus,7.055,False,"Fantasy, Comedy, Family","English, French"
The Master,7.151,False,Drama,English
The Hills Have Eyes,6.411,False,"Horror, Thriller",English
The Ninth Gate,6.455,False,"Mystery, Thriller, Horror","English, Spanish, Latin, Portuguese, French"
Jeepers Creepers,6.449,False,"Horror, Thriller, Mystery",English
The SpongeBob Movie: Sponge on the Run,7.509,False,"Family, Animation, Fantasy, Adventure, Comedy",English
Mr. Popper's Penguins,5.932,False,"Comedy, Family",English
Oculus,6.44,False,Horror,English
Next,6.052,False,"Action, Science Fiction, Thriller","English, French, German"
The Name of the Rose,7.47,False,"Drama, Thriller, Mystery","German, English, Italian, Latin"
Beautiful Creatures,6.0,False,"Fantasy, Drama, Romance",English
The Spectacular Now,6.649,False,"Comedy, Drama, Romance",English
Dragon Ball Super: Broly,7.884,False,"Action, Science Fiction, Animation",Japanese
The Grudge,5.88,False,"Horror, Mystery, Thriller","English, Japanese"
The Thin Red Line,7.446,False,"Drama, History, War","English, Greek, Japanese"
The Nutty Professor,5.625,False,"Fantasy, Comedy, Romance, Science Fiction",English
RocknRolla,6.948,False,"Action, Crime, Thriller","English, Russian"
Addams Family Values,6.948,False,"Comedy, Family, Fantasy",English
Big Trouble in Little China,7.2,False,"Comedy, Action, Adventure, Fantasy","English, Cantonese"
All the Bright Places,7.673,False,"Romance, Drama",English
The Seventh Seal,8.2,False,"Fantasy, Drama",Swedish
They Live,7.288,False,"Science Fiction, Action","English, German"
From Russia with Love,7.072,False,"Action, Thriller, Adventure","English, Russian, Turkish, Romanian"
Arthur and the Invisibles,6.383,False,"Adventure, Fantasy, Animation, Family",English
Lawrence of Arabia,7.976,False,"Adventure, Drama, History, War","English, Arabic, Turkish"
Alvin and the Chipmunks: The Squeakquel,5.628,False,"Comedy, Family, Animation, Fantasy, Music","English, French"
Poltergeist,7.143,False,Horror,English
The Ritual,6.227,False,"Horror, Thriller, Mystery","English, Swedish"
Shallow Hal,6.15,False,"Comedy, Romance",English
Palm Springs,7.338,False,"Comedy, Romance, Science Fiction","English, Spanish"
Let the Right One In,7.519,False,"Horror, Drama",Swedish
Insidious: The Last Key,6.272,False,"Horror, Mystery, Thriller",English
Nomadland,7.237,False,Drama,English
The Bodyguard,6.666,False,"Thriller, Action, Drama, Music, Romance",English
Instant Family,7.537,False,Comedy,English
Air Force One,6.46,False,"Action, Thriller","English, Russian"
Nymphomaniac: Vol. II,6.763,False,"Drama, Mystery",English
Dog Day Afternoon,7.836,False,"Crime, Drama, Thriller",English
Spaceballs,6.8,False,"Comedy, Science Fiction",English
Jack Ryan: Shadow Recruit,6.115,False,"Action, Drama, Thriller","English, Russian"
The Orphanage,7.232,False,"Horror, Drama, Thriller",Spanish
Saw 3D,5.981,False,"Horror, Crime",English
The Thing,6.203,False,"Horror, Science Fiction, Mystery, Thriller","English, Norwegian, Danish"
The Wind Rises,7.781,False,"Drama, Animation, War","French, German, Italian, Japanese"
The Legend of Zorro,6.108,False,"Action, Adventure, Western","English, Spanish"
The Bounty Hunter,5.84,False,"Comedy, Action, Romance",English
The Two Popes,7.51,False,"Drama, Comedy, History","English, French, German, Italian, Latin, Portuguese, Spanish"
Babe,6.192,False,"Fantasy, Drama, Comedy, Family",English
Office Space,7.376,False,Comedy,English
Flipped,7.98,False,"Romance, Drama",English
The Best Offer,7.834,False,"Drama, Romance, Crime",English
Devil,6.059,False,"Horror, Mystery, Thriller","Spanish, English, Ukrainian"
Ferdinand,7.232,False,"Animation, Family, Adventure, Comedy",English
Moonfall,6.355,False,"Science Fiction, Adventure, Action","Mandarin, English, French"
The Next Three Days,7.071,False,"Romance, Drama, Thriller, Crime",English
The World Is Not Enough,6.265,False,"Adventure, Action, Thriller","English, Russian"
Along Came Polly,5.983,False,"Comedy, Romance",English
Child's Play,6.676,False,Horror,English
Beastly,6.325,False,"Drama, Fantasy, Romance","Spanish, English"
Bedtime Stories,6.141,False,"Fantasy, Comedy, Family, Romance",English
Date Night,6.072,False,"Comedy, Action, Adventure","Hebrew, English"
Suspiria,7.5,False,Horror,"English, Italian, Latin, German"
12 Strong,6.233,False,"War, Drama, Action, History",English
Run All Night,6.404,False,"Action, Crime, Thriller",English
A Walk Among the Tombstones,6.32,False,"Crime, Drama, Mystery, Thriller",English
Project Power,6.481,False,"Action, Crime, Science Fiction","English, Hindi, Portuguese"
The Lost City of Z,6.4,False,"Adventure, Drama, History","English, German, Portuguese, Spanish"
Lethal Weapon 3,6.699,False,"Adventure, Action, Comedy, Thriller, Crime",English
Walk the Line,7.487,False,"Drama, Music, Romance","English, Russian"
Eagle Eye,6.448,False,"Mystery, Thriller, Action",English
The Dreamers,7.206,False,"Drama, Romance","French, English"
Coach Carter,7.566,False,"Drama, History",English
Hotel Rwanda,7.718,False,"Drama, History, War","English, French"
Overlord,6.703,False,"Horror, War, Science Fiction","English, French, German, Russian"
The Life Aquatic with Steve Zissou,7.106,False,"Adventure, Comedy, Drama","English, Icelandic, Portuguese, French, Tagalog, German, Italian"
Mr. Bean's Holiday,6.342,False,"Family, Comedy","French, Russian, English"
The SpongeBob SquarePants Movie,6.995,False,"Family, Animation, Comedy, Fantasy, Adventure",English
Jarhead,6.621,False,"Drama, War","English, Spanish, Arabic, Latin"
The Darkest Minds,7.053,False,"Action, Adventure, Drama",English
Good Time,7.204,False,"Crime, Thriller",English
Den of Thieves,6.77,False,"Action, Thriller, Crime",English
Beowulf,5.889,False,"Adventure, Action, Animation",English
American Ultra,6.087,False,"Comedy, Action",English
Pan,5.965,False,"Fantasy, Adventure, Family, Action",English
Scary Movie 5,4.805,False,Comedy,English
The Little Prince,7.605,False,"Adventure, Animation, Fantasy, Family",English
The Abyss,7.3,False,"Adventure, Action, Thriller, Science Fiction",English
Dune,6.197,False,"Action, Science Fiction, Adventure",English
Desperado,6.914,False,"Thriller, Action, Crime",English
Friday the 13th,6.391,False,Horror,English
Cheaper by the Dozen,6.278,False,"Comedy, Family",English
Seven Years in Tibet,7.174,False,"Adventure, Drama, History","Mandarin, German, English, Hindi, Tibetan"
Crank: High Voltage,6.048,False,"Action, Thriller, Crime",English
Let's Be Cops,6.5,False,Comedy,English
Buried,6.617,False,"Drama, Thriller, Mystery",English
Irreversible,7.24,False,"Drama, Thriller, Crime","English, French, Italian, Spanish"
Meet the Robinsons,6.901,False,"Animation, Comedy, Family",English
Aliens vs Predator: Requiem,5.2,False,"Fantasy, Action, Science Fiction, Thriller, Horror",English
The Mitchells vs. the Machines,7.937,False,"Animation, Adventure, Comedy",English
Roald Dahl's The Witches,6.397,False,"Family, Comedy, Fantasy, Horror",English
We Need to Talk About Kevin,7.558,False,"Drama, Thriller",English
Spies in Disguise,7.635,False,"Animation, Action, Adventure, Comedy, Family",English
The Punisher,6.331,False,"Action, Crime, Drama",English
The Rocky Horror Picture Show,7.477,False,"Comedy, Science Fiction, Fantasy, Horror",English
Bridget Jones: The Edge of Reason,6.241,False,"Comedy, Romance","German, Thai, English"
From Hell,6.682,False,"Horror, Mystery, Thriller",English
Greyhound,7.419,False,"War, Action, Drama",English
47 Meters Down,5.789,False,"Thriller, Adventure, Horror","English, Spanish"
Going in Style,6.689,False,"Crime, Comedy",English
Paths of Glory,8.281,False,"Drama, War","English, Latin, German"
Mud,7.061,False,Drama,English
Coherence,7.239,False,"Thriller, Science Fiction",English
Idiocracy,6.311,False,"Comedy, Science Fiction, Adventure",English
The Secret World of Arrietty,7.645,False,"Fantasy, Animation, Family",Japanese
You Were Never Really Here,6.547,False,"Crime, Drama, Thriller",English
The Imaginarium of Doctor Parnassus,6.383,False,"Adventure, Fantasy, Mystery","English, Russian, French"
The Last Stand,6.004,False,"Action, Crime, Thriller",English
Dragon Ball Super: Super Hero,7.917,False,"Animation, Science Fiction, Action",Japanese
LOL,6.129,False,"Drama, Comedy, Romance",English
The Descendants,6.827,False,"Comedy, Drama",English
The Change-Up,6.134,False,Comedy,English
Mad Max Beyond Thunderdome,6.199,False,"Action, Adventure, Science Fiction",English
The Brothers Grimm,5.802,False,"Adventure, Fantasy, Action, Comedy, Thriller","English, French, German, Italian"
Café Society,6.457,False,"Comedy, Drama, Romance",English
The Exorcism of Emily Rose,6.541,False,"Crime, Drama, Horror, Thriller",English
Epic,6.5,False,"Animation, Adventure, Family, Fantasy",English
Barry Lyndon,8.007,False,"Drama, Romance, War","German, French, English"
Mommy,8.251,False,Drama,"French, English"
Nightmare Alley,6.992,False,"Thriller, Crime, Drama",English
Escape from Alcatraz,7.526,False,"Drama, Thriller",English
Christopher Robin,7.327,False,"Adventure, Comedy, Family, Fantasy",English
The Fountain,6.95,False,"Drama, Adventure, Science Fiction, Romance",English
Open Season,6.143,False,"Animation, Family, Adventure, Comedy",English
Commando,6.664,False,"Action, Adventure, Thriller",English
August Rush,7.383,False,"Family, Drama, Music",English
1922,5.939,False,"Horror, Crime, Drama",English
The Host,6.982,False,"Horror, Drama, Science Fiction","English, Korean"
Get Hard,6.01,False,Comedy,English
I Know What You Did Last Summer,5.941,False,"Horror, Thriller, Mystery",English
Mortdecai,5.508,False,"Comedy, Adventure",English
Event Horizon,6.528,False,"Horror, Science Fiction, Mystery","English, Latin"
Dark City,7.328,False,"Mystery, Science Fiction",English
That Awkward Moment,6.15,False,"Comedy, Romance",English
Ouija,5.156,False,Horror,English
30 Days of Night,6.4,False,"Horror, Thriller",English
The Florida Project,7.4,False,Drama,"English, Portuguese, Spanish"
The Break-Up,5.859,False,"Romance, Comedy",English
The Lake House,6.989,False,"Drama, Mystery, Romance",English
Kung Fu Hustle,7.404,False,"Action, Comedy, Crime, Fantasy",Cantonese
We Bought a Zoo,6.765,False,"Drama, Comedy, Family",English
Scooby-Doo 2: Monsters Unleashed,6.031,False,"Mystery, Fantasy, Adventure, Comedy",English
Tucker and Dale vs. Evil,7.361,False,"Comedy, Horror",English
A Nightmare on Elm Street,5.516,False,"Horror, Mystery, Thriller",English
Inside Llewyn Davis,7.203,False,"Drama, Music",English
Locke,6.899,False,"Drama, Thriller",English
King Arthur,6.259,False,"Adventure, War, History, Action","Gaelic, Welsh, English, Irish, Latin"
The Three Musketeers,5.803,False,"Adventure, Action, Thriller",English
Marie Antoinette,6.666,False,"Drama, History","English, French, Latin"
Confessions of a Shopaholic,6.4,False,"Comedy, Romance","English, Finnish"
Elemental,7.757,False,"Animation, Comedy, Family, Fantasy, Romance",English
Ben-Hur,7.87,False,"Action, Drama, History, Adventure",English
Guillermo del Toro's Pinocchio,8.179,False,"Animation, Fantasy, Drama, Music",English
Almost Famous,7.501,False,"Drama, Music",English
Peter Pan,7.184,False,"Adventure, Fantasy, Family","Greek, Portuguese, French, Moldavian, English"
"South Park: Bigger, Longer & Uncut",7.252,False,"Animation, Comedy",English
Kiss Kiss Bang Bang,7.181,False,"Comedy, Crime, Mystery, Thriller",English
Fences,6.874,False,Drama,English
Set It Up,6.95,False,"Romance, Comedy",English
Last Action Hero,6.432,False,"Adventure, Fantasy, Action, Comedy, Family",English
Green Room,6.708,False,"Horror, Crime, Thriller","German, English"
True Romance,7.54,False,"Action, Crime, Romance","English, Italian"
Adrift,6.85,False,"Thriller, Romance, Adventure","English, French"
Long Shot,6.735,False,"Comedy, Romance","French, English, Swedish"
Trainwreck,5.79,False,"Comedy, Romance",English
Four Weddings and a Funeral,6.759,False,"Comedy, Drama, Romance",English
The Book of Life,7.533,False,"Animation, Adventure, Comedy, Family, Fantasy",English
Swordfish,6.227,False,"Action, Crime, Thriller","German, English"
Wallace & Gromit: The Curse of the Were-Rabbit,7.047,False,"Adventure, Animation, Comedy, Family",English
The House That Jack Built,7.162,False,"Drama, Horror, Crime, Thriller","English, German, Italian"
Four Rooms,5.784,False,Comedy,English
"Good Morning, Vietnam",7.318,False,"Comedy, Drama, War","English, Vietnamese"
Metropolis,8.153,False,"Drama, Science Fiction",No Language
The Spiderwick Chronicles,6.619,False,"Family, Adventure, Fantasy",English
The Best of Me,7.459,False,"Drama, Romance",English
Wrong Turn,6.3,False,"Horror, Thriller",English
Scary Stories to Tell in the Dark,6.5,False,"Horror, Thriller",English
I Care a Lot,6.632,False,"Comedy, Crime, Thriller, Drama",English
Shazam! Fury of the Gods,6.662,False,"Comedy, Action, Fantasy",English
Me and Earl and the Dying Girl,7.542,False,"Drama, Comedy",English
Remember the Titans,7.627,False,Drama,English
Man on a Ledge,6.431,False,"Action, Thriller, Crime",English
Police Academy,6.655,False,"Comedy, Crime",English
The Texas Chainsaw Massacre,6.237,False,Horror,English
