title,vote_average,adult,genres,spoken_languages
Get Out,7.62,False,"Mystery, Thriller, Horror",English
The Imitation Game,8.007,False,"History, Drama, Thriller, War",English
Bohemian Rhapsody,7.997,False,"Music, Drama, History",English
The Green Mile,8.507,False,"Fantasy, Drama, Crime","French, English"
The Maze Runner,7.173,False,"Action, Mystery, Science Fiction, Thriller",English
The Hangover,7.312,False,Comedy,English
The Empire Strikes Back,8.4,False,"Adventure, Action, Science Fiction",English
Shrek,7.73,False,"Animation, Comedy, Fantasy, Adventure, Family",English
Ratatouille,7.809,False,"Animation, Comedy, Family, Fantasy","English, French"
Kingsman: The Secret Service,7.636,False,"Crime, Comedy, Action, Adventure","Arabic, English"
La La Land,7.897,False,"Comedy, Drama, Romance, Music",English
Frozen,7.2,False,"Animation, Family, Adventure, Fantasy",English
Dunkirk,7.456,False,"War, Action, Drama","English, French, German"
Zootopia,7.748,False,"Animation, Adventure, Family, Comedy",English
Lucy,6.44,False,"Action, Science Fiction","Mandarin, English, French, Spanish, Korean"
Jurassic Park,7.941,False,"Adventure, Science Fiction","English, Spanish"
The Silence of the Lambs,8.3,False,"Crime, Drama, Thriller",English
Spirited Away,8.539,False,"Animation, Family, Fantasy",Japanese
Beauty and the Beast,6.967,False,"Family, Fantasy, Romance","English, French"
Pirates of the Caribbean: Dead Man's Chest,7.346,False,"Adventure, Fantasy, Action","English, Turkish, Greek, Mandarin"
Big Hero 6,7.738,False,"Adventure, Family, Animation, Action, Comedy",English
Now You See Me,7.345,False,"Thriller, Crime","French, English"
The Hunger Games: Mockingjay - Part 1,6.796,False,"Science Fiction, Adventure, Thriller",English
Venom,6.826,False,"Science Fiction, Action","Mandarin, English, Malay"
The Prestige,8.203,False,"Drama, Mystery, Science Fiction",English
I Am Legend,7.201,False,"Drama, Science Fiction, Thriller",English
Saving Private Ryan,8.209,False,"Drama, History, War","Czech, German, English, French"
Captain Marvel,6.843,False,"Action, Adventure, Science Fiction",English
Baby Driver,7.5,False,"Action, Crime",English
Schindler's List,8.573,False,"Drama, History, War","German, Polish, Hebrew, English"
Return of the Jedi,7.892,False,"Adventure, Action, Science Fiction",English
Spider-Man: Far From Home,7.447,False,"Action, Adventure, Science Fiction","Czech, Dutch, English, German, Italian"
Skyfall,7.227,False,"Action, Adventure, Thriller",English
Gravity,7.162,False,"Science Fiction, Thriller, Drama",English
X-Men: Days of Future Past,7.5,False,"Action, Adventure, Science Fiction","English, French, Russian, Vietnamese"
Ready Player One,7.6,False,"Adventure, Action, Science Fiction",English
World War Z,6.807,False,"Action, Drama, Horror, Science Fiction, Thriller",English
Catch Me If You Can,7.971,False,"Drama, Crime","English, French"
Rogue One: A Star Wars Story,7.488,False,"Action, Adventure, Science Fiction",English
Star Wars: The Last Jedi,6.825,False,"Adventure, Action, Science Fiction",English
Man of Steel,6.614,False,"Action, Adventure, Science Fiction",English
Despicable Me,7.227,False,"Family, Animation, Comedy",English
Spider-Man 2,7.258,False,"Action, Adventure, Fantasy","English, Russian, Mandarin"
Spider-Man: Into the Spider-Verse,8.404,False,"Action, Adventure, Animation, Science Fiction","English, Japanese, Spanish"
Charlie and the Chocolate Factory,7.04,False,"Adventure, Comedy, Family, Fantasy",English
Whiplash,8.381,False,"Drama, Music",English
The Departed,8.166,False,"Drama, Thriller, Crime","English, Cantonese"
The Grand Budapest Hotel,8.049,False,"Comedy, Drama","English, French"
Toy Story 3,7.792,False,"Animation, Family, Comedy","English, Spanish"
Memento,8.188,False,"Mystery, Thriller",English
Eternal Sunshine of the Spotless Mind,8.101,False,"Science Fiction, Drama, Romance",English
Léon: The Professional,8.316,False,"Crime, Drama, Action","English, French, Italian"
Black Swan,7.672,False,"Drama, Thriller, Horror","English, French, Italian"
V for Vendetta,7.897,False,"Action, Thriller, Science Fiction",English
Star Wars: Episode I - The Phantom Menace,6.5,False,"Adventure, Action, Science Fiction",English
Her,7.862,False,"Romance, Science Fiction, Drama",English
Pirates of the Caribbean: At World's End,7.239,False,"Adventure, Fantasy, Action",English
The Hobbit: The Battle of the Five Armies,7.309,False,"Action, Adventure, Fantasy",English
Reservoir Dogs,8.132,False,"Crime, Thriller",English
The Hateful Eight,7.746,False,"Drama, Mystery, Western","Spanish, English"
Alien,8.147,False,"Horror, Science Fiction","English, Spanish"
Sherlock Holmes,7.202,False,"Action, Adventure, Crime, Mystery","English, French"
Alice in Wonderland,6.627,False,"Family, Fantasy, Adventure",English
Pirates of the Caribbean: On Stranger Tides,6.538,False,"Adventure, Action, Fantasy","English, Spanish"
